X,Y,name,name:en,place,landuse,population,is_in,source,name:af,name:nr,name:st,name:nso,name:ssw,name:ts,name:tn,name:ve,name:xh,name:zu,osm_id,osm_type
30.235,-28.161389,Dundee,,town,,34924,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,94825540,nodes
31.859523,-28.9158887,Mahunu,,village,,,,,,,,,,,,,,,2207841017,nodes
31.8292604,-28.9214276,Port Durnford,,village,,,,,,,,,,,,,,,2207841040,nodes
18.869167,-33.934444,Stellenbosch,,town,,60000,,sagns,,,,,,,,,,,21489671,nodes
17.8827778,-32.8147222,Bekbaai,,hamlet,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719152,nodes
27.9372222,-32.2005556,Bholani,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262719295,nodes
27.055,-25.3625,Ledig,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720950,nodes
27.0411111,-25.3544444,Letlhabile,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720998,nodes
27.6477778,-32.9802778,Mabobosini,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262721071,nodes
24.7986111,-27.5561111,Manokwane,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721226,nodes
31.6805556,-25.5916667,Mdladla,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262721308,nodes
21.4372222,-34.3255556,Melkhoutfontein,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262721317,nodes
26.8427778,-28.1188889,Merriespruit,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262721322,nodes
24.8016667,-27.5363889,Mhole,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721326,nodes
27.0961111,-24.9444444,Mmantserre,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721401,nodes
30.7630556,-24.5947222,Apara,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262719102,nodes
27.5313889,-25.5538889,Berseba,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262719270,nodes
27.6591667,-32.965,Blue Rock,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262719357,nodes
19.2583333,-33.5638889,Botha,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719397,nodes
27.4605556,-29.1702778,Brightside,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262719480,nodes
26.8222222,-27.9986111,Bronville,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262719486,nodes
20.525,-34.0444444,Buffeljagsrivier,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719496,nodes
27.1227778,-25.4144444,Chaneng,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262719640,nodes
27.4477778,-32.56,Cumakala,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262719733,nodes
31.2333333,-25.275,eMdlankhomo,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262720060,nodes
30.7708333,-24.6055556,Ga-Monlala,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262720299,nodes
27.5061111,-25.4375,Haartbeesfontein,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720464,nodes
27.4861111,-25.4366667,Hartbeesfontein,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720496,nodes
27.8913889,-26.6491667,Homer,,town,,,"Gauteng, South Africa",sagns,,,,,,,,,,,262720604,nodes
27.0786111,-25.3544444,Kagiso,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720757,nodes
31.1805556,-25.3333333,Kamsogwaba,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262720767,nodes
30.8102778,-24.6636111,Kanana,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262720768,nodes
26.8297222,-28.1291667,Kitty,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262720830,nodes
27.6422222,-32.9838889,Lalini,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262720936,nodes
