name,description,styleUrl,icon-opacity,icon-color,icon,Unit ID:,Latitude,Longitude
KMP 93/1,"{""@type"":""html"",""value"":""Unit ID:: 0219F594<br>Latitude: -25.880733<br>Longitude:  29.022089""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219F594,-25.880733,29.022089
KMP 93/4,"{""@type"":""html"",""value"":""Unit ID:: 028407D4<br>Latitude: -25.882056<br>Longitude:  29.024453""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,028407D4,-25.882056,29.024453
KMP 105/12,"{""@type"":""html"",""value"":""Unit ID:: 2843749<br>Latitude: -25.899619<br>Longitude:  29.142875""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2843749,-25.899619,29.142875
KMP 105/15,"{""@type"":""html"",""value"":""Unit ID:: 028439BE<br>Latitude: -25.899650<br>Longitude:  29.143783""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,028439BE,-25.899650,29.143783
KMP 109/9,"{""@type"":""html"",""value"":""Unit ID:: 0219E4EC<br>Latitude: -25.890686<br>Longitude:  29.176850""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219E4EC,-25.890686,29.176850
KMP 109/16,"{""@type"":""html"",""value"":""Unit ID:: 0283F75C<br>Latitude: -25.889997<br>Longitude:  29.178472""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0283F75C,-25.889997,29.178472
KMP 111/10,"{""@type"":""html"",""value"":""Unit ID:: 0283FC52<br>Latitude: -25.888214<br>Longitude:  29.182622""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0283FC52,-25.888214,29.182622
KMP 111/6,"{""@type"":""html"",""value"":""Unit ID:: 0219E09D<br>Latitude: -25.888569<br>Longitude:  29.181561""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219E09D,-25.888569,29.181561
KMP 112/2,"{""@type"":""html"",""value"":""Unit ID:: 2843534<br>Latitude: -25.882283<br>Longitude:  29.199306""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2843534,-25.882283,29.199306
KMP 112/6,"{""@type"":""html"",""value"":""Unit ID:: 0284355F<br>Latitude: -25.882147<br>Longitude:  29.200983""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0284355F,-25.882147,29.200983
KMP 112/8,"{""@type"":""html"",""value"":""Unit ID:: 0284378C<br>Latitude: -25.882117<br>Longitude:  29.201869""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0284378C,-25.882117,29.201869
KMP 112/10,"{""@type"":""html"",""value"":""Unit ID:: 2843956<br>Latitude: -25.882089<br>Longitude:  29.202361""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2843956,-25.882089,29.202361
KMP 112/12,"{""@type"":""html"",""value"":""Unit ID:: 028436C4<br>Latitude: -25.882014<br>Longitude:  29.202736""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,028436C4,-25.882014,29.202736
KMP 112/14,"{""@type"":""html"",""value"":""Unit ID:: 2843879<br>Latitude: -25.881919<br>Longitude:  29.203092""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2843879,-25.881919,29.203092
KMP 112/4,"{""@type"":""html"",""value"":""Unit ID:: 0284379E<br>Latitude: -25.882250<br>Longitude:  29.199386""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0284379E,-25.882250,29.199386
KMP 111/26,"{""@type"":""html"",""value"":""Unit ID:: 2843941<br>Latitude: -25.882322<br>Longitude:  29.198664""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2843941,-25.882322,29.198664
KMP 111/24,"{""@type"":""html"",""value"":""Unit ID:: 2843788<br>Latitude: -25.882314<br>Longitude:  29.198472""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2843788,-25.882314,29.198472
KMP 111/22,"{""@type"":""html"",""value"":""Unit ID:: 024353D<br>Latitude: -25.882350<br>Longitude:  29.198247""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,024353D,-25.882350,29.198247
KMP 111/20,"{""@type"":""html"",""value"":""Unit ID:: 2843815<br>Latitude: -25.882300<br>Longitude:  29.198028""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2843815,-25.882300,29.198028
KMP 0/19,"{""@type"":""html"",""value"":""Unit ID:: 2843484<br>Latitude: -25.861328<br>Longitude:  29.216272""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2843484,-25.861328,29.216272
KMP 0/19,"{""@type"":""html"",""value"":""Unit ID:: 0284349E<br>Latitude: -25.861328<br>Longitude:  29.216272""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0284349E,-25.861328,29.216272
KMP 3/1,"{""@type"":""html"",""value"":""Unit ID:: 2844079<br>Latitude: -25.844962<br>Longitude:  29.232546""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2844079,-25.844962,29.232546
KMP 3/3,"{""@type"":""html"",""value"":""Unit ID:: 02843D14<br>Latitude: -25.844058<br>Longitude:  29.233351""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,02843D14,-25.844058,29.233351
KMP 3/5,"{""@type"":""html"",""value"":""Unit ID:: 02843F59<br>Latitude: -25.843099<br>Longitude:  29.234146""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,02843F59,-25.843099,29.234146
KMP 3/7,"{""@type"":""html"",""value"":""Unit ID:: 2844007<br>Latitude: -25.842093<br>Longitude:  29.235211""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2844007,-25.842093,29.235211
KMP 3/9,"{""@type"":""html"",""value"":""Unit ID:: 02843CD7<br>Latitude: -25.841243<br>Longitude:  29.235964""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,02843CD7,-25.841243,29.235964
KMP 3/11,"{""@type"":""html"",""value"":""Unit ID:: 2844023<br>Latitude: -25.840303<br>Longitude:  29.236774""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2844023,-25.840303,29.236774
KMP 3/13,"{""@type"":""html"",""value"":""Unit ID:: 0284400F<br>Latitude: -25.839548<br>Longitude:  29.237470""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0284400F,-25.839548,29.237470
KMP 3/15,"{""@type"":""html"",""value"":""Unit ID:: 2844013<br>Latitude: -25.839548<br>Longitude:  29.237470""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2844013,-25.839548,29.237470
KMP 3/17,"{""@type"":""html"",""value"":""Unit ID:: 2844009<br>Latitude: -25.838318<br>Longitude:  29.238343""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2844009,-25.838318,29.238343
KMP 4/1,"{""@type"":""html"",""value"":""Unit ID:: 0219EEB8<br>Latitude: -25.835564<br>Longitude:  29.238803""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219EEB8,-25.835564,29.238803
KMP 4/3,"{""@type"":""html"",""value"":""Unit ID:: 0219EF8C<br>Latitude: -25.899636<br>Longitude: 29.142858""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219EF8C,-25.899636,29.142858
KMP 4/6,"{""@type"":""html"",""value"":""Unit ID:: 0219EEC9<br>Latitude: -25.8354100<br>Longitude: 29.2388140""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219EEC9,-25.8354100,29.2388140
