Name,Latitude,Longitude,Open,Description
Karino Relay room (Fence Damaged),-25.47221951985014,31.10001523933082,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10.55.37.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10.55.28.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10.55.06.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10.54.13.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10.53.48.jpeg"">"
Mayfern Sub,-25.46168605503743,31.00886447385221,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_1.13.20.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_1.12.59(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_0.12.34.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_0.12.20.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_0.11.40.jpeg"">


Beams around sub.<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_0.15.00.jpeg"">"
Westaffin Substation,-25.45183851079659,30.92965274945849,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08.07.44.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08.06.10.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08.05.54.jpeg"">"
Broham Relay Room,-25.44341179540464,30.88299296456391,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.36.16.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.35.49.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.35.12.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.34.56.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.34.52.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.34.22.jpeg"">"
Alkmar Substation.,-25.44633038978007,30.82966131940227,1,"Sub overgrown<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 11.04.54.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 11.04.43.jpeg"">"
Rivulets Relay Room,-25.43914860042993,30.75638491832309,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 13_1.43.57.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 13_1.43.41.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 13_1.43.03.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 13_1.42.53.jpeg"">"
Rivulets Substation,-25.43985113000855,30.75419913687229,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 13_1.31.01.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 13_1.30.05.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 13_1.29.39.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 13_1.28.52.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 13_1.28.29.jpeg"">"
Reception Relay Room,-25.4679346101444,30.71626969417514,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.25.31.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.25.10.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.24.55.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.24.30.jpeg"">"
Elandshoek,-25.50513954170793,30.70063509018492,1,"Elandshoek Relay room<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.05.33.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.05.01.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.04.51.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.04.13.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.01.51(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.01.51.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.01.50.jpeg"">"
Citrodora Relay Room,-25.54413517377354,30.68419542108767,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.56.52.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.56.34.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.56.07.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.55.54.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.55.40.jpeg"">"
