name,name:en,place,landuse,population,is_in,source,name:af,name:nr,name:st,name:nso,name:ssw,name:ts,name:tn,name:ve,name:xh,name:zu,osm_id,osm_type
Kleinplaat,,isolated_dwelling,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262707553,nodes
Bergsig,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719262,nodes
Die Erwe,,hamlet,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719861,nodes
Glentana Hills,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262720417,nodes
Greenhaven,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262720448,nodes
Outeniquastrand,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262721868,nodes
Suiderkruis,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262722228,nodes
Kololo,,village,,,,,,,,,,,,,,,2622433144,nodes
Tylers,,village,,,,,,,,,,,,,,,12485395008,nodes
Mpungamhlophe,,village,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262721548,nodes
Virginia,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,66135953,nodes
Ngope-Ts'ehla,,hamlet,,,,LSPP,,,,,,,,,,,11356572884,nodes
Ha Babitle,,village,,,,LSPP,,,,,,,,,,,11356572885,nodes
Saballa,,hamlet,,,,LSPP,,,,,,,,,,,11356572886,nodes
Moru-Mots'o,,isolated_dwelling,,,,LSPP,,,,,,,,,,,11356577210,nodes
Tesselaarsdal,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262717690,nodes
Swartfontein,,village,,,"Free State, South Africa",sagns,,,,,,,,,,,262722247,nodes
Nonceba,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262713801,nodes
Uitkyk,,village,,,,sagns,,,,,,,,,,,262722322,nodes
Ka-Xialana,,village,,,,,,,,,,,,,,,2407646902,nodes
Upper Mnyameni,,hamlet,,,,sagns,,,,,,,,,,,7257910720,nodes
Nyanga,,hamlet,,,,sagns,,,,,,,,,,,7257910722,nodes
Mdeni,,hamlet,,,,sagns,,,,,,,,,,,7257910723,nodes
Magxagxeni,,hamlet,,,,sagns,,,,,,,,,,,7257910724,nodes
